"Game #","Division","Pool","Team 1","Team 1 Score","Team 2 Score","Team 2","Match Type","Date","Time","Venue","SubVenue"
"1","11U","Pool C","London Nationals","","","Royals U11 Select","","August 01, 2025","01:00 PM","3215 Forest Glade Dr","Optimist 2 (OPT2)"
"2","13U","Pool 1","Forest Glade Falcons","","","Soo Selects","","August 01, 2025","03:00 PM","3215 Forest Glade Dr","Tom Wilson Field (TWF)"
"3","13U","Pool 2","Lakeshore WHITECAPS","","","Strathroy Royals U13","","August 01, 2025","03:00 PM","3215 Forest Glade Dr","Bernie Amlin Field (BAF)"
"4","11U","Pool C","Aburg Cardinals","","","Wyoming Wranglers","","August 01, 2025","03:00 PM","3215 Forest Glade Dr","Optimist 2 (OPT2)"
"5","11U","Pool B","Forest Glade Falcons","","","Belle River Lakeshore Whitecaps","","August 01, 2025","03:00 PM","3215 Forest Glade Dr","Donna Bombardier Diamond (DBD)"
"6","11U","Pool 1","London Scripions","","","Rockies","","August 01, 2025","03:00 PM","3215 Forest Glade Dr","Optimist 1 (OPT1)"
"7","13U","Pool 2","Southwest London Scorpions","","","Newmarket Hawks 13U Select","","August 01, 2025","05:00 PM","3215 Forest Glade Dr","Bernie Amlin Field (BAF)"
"8","13U","Pool 1","St Thomas Cardinals","","","West Mountain  Cougars","","August 01, 2025","05:00 PM","3215 Forest Glade Dr","Tom Wilson Field (TWF)"
"9","11U","Pool B","Sarnia Brigade U11 Select","","","Niagara Falls Falcons","","August 01, 2025","05:00 PM","3215 Forest Glade Dr","Donna Bombardier Diamond (DBD)"
"10","11U","Pool C","Turtle Club","","","A’s Select ","","August 01, 2025","05:00 PM","3215 Forest Glade Dr","Optimist 2 (OPT2)"
"11","11U","Pool 1","Soo Selects","","","London Tincaps","","August 01, 2025","05:00 PM","3215 Forest Glade Dr","Optimist 1 (OPT1)"
"12","13U","Pool 3","Wyoming Wranglers U13 SOBA","","","South Woodslee Orioles","","August 01, 2025","07:00 PM","3215 Forest Glade Dr","Tom Wilson Field (TWF)"
"13","13U","Pool 3","East Mountain Cobras U13","","","North London Nationals","","August 01, 2025","07:00 PM","3215 Forest Glade Dr","Bernie Amlin Field (BAF)"
"14","13U","Pool 1","West Mountain  Cougars","","","Soo Selects","","August 02, 2025","08:00 AM","3215 Forest Glade Dr","Tom Wilson Field (TWF)"
"15","13U","Pool 2","Strathroy Royals U13","","","Southwest London Scorpions","","August 02, 2025","08:00 AM","3215 Forest Glade Dr","Bernie Amlin Field (BAF)"
"16","11U","Pool C","Wyoming Wranglers","","","London Nationals","","August 02, 2025","08:00 AM","3215 Forest Glade Dr","Optimist 1 (OPT1)"
"17","11U","Pool B","Niagara Falls Falcons","","","Forest Glade Falcons","","August 02, 2025","08:00 AM","3215 Forest Glade Dr","Donna Bombardier Diamond (DBD)"
"18","11U","Pool 1","London Scripions","","","Soo Selects","","August 02, 2025","08:00 AM","3215 Forest Glade Dr","Optimist 2 (OPT2)"
"19","13U","Pool 2","Lakeshore WHITECAPS","","","Newmarket Hawks 13U Select","","August 02, 2025","10:00 AM","3215 Forest Glade Dr","Bernie Amlin Field (BAF)"
"20","13U","Pool 1","Forest Glade Falcons","","","St Thomas Cardinals","","August 02, 2025","10:00 AM","3215 Forest Glade Dr","Tom Wilson Field (TWF)"
"21","11U","Pool C","Aburg Cardinals","","","A’s Select ","","August 02, 2025","10:00 AM","3215 Forest Glade Dr","Optimist 1 (OPT1)"
"22","11U","Pool B","Sarnia Brigade U11 Select","","","Belle River Lakeshore Whitecaps","","August 02, 2025","10:00 AM","3215 Forest Glade Dr","Donna Bombardier Diamond (DBD)"
"23","11U","Pool 1","London Tincaps","","","Rockies","","August 02, 2025","10:00 AM","3215 Forest Glade Dr","Optimist 2 (OPT2)"
"24","13U","Pool 3","Wyoming Wranglers U13 SOBA","","","East Mountain Cobras U13","","August 02, 2025","12:00 PM","3215 Forest Glade Dr","Tom Wilson Field (TWF)"
"25","13U","Pool 3","North London Nationals","","","South Woodslee Orioles","","August 02, 2025","12:00 PM","3215 Forest Glade Dr","Bernie Amlin Field (BAF)"
"26","11U","Pool B","Belle River Lakeshore Whitecaps","","","Niagara Falls Falcons","","August 02, 2025","12:00 PM","3215 Forest Glade Dr","Donna Bombardier Diamond (DBD)"
"27","11U","Pool C","Turtle Club","","","Royals U11 Select","","August 02, 2025","12:00 PM","3215 Forest Glade Dr","Optimist 1 (OPT1)"
"28","11U","Pool 1","Rockies","","","Soo Selects","","August 02, 2025","12:00 PM","3215 Forest Glade Dr","Optimist 2 (OPT2)"
"29","13U","Pool 1","Soo Selects","","","St Thomas Cardinals","","August 02, 2025","02:00 PM","3215 Forest Glade Dr","Bernie Amlin Field (BAF)"
"30","13U","Pool 1","Forest Glade Falcons","","","West Mountain  Cougars","","August 02, 2025","02:00 PM","3215 Forest Glade Dr","Tom Wilson Field (TWF)"
"31","11U","Pool C","London Nationals","","","A’s Select ","","August 02, 2025","02:00 PM","3215 Forest Glade Dr","Optimist 1 (OPT1)"
"32","11U","Pool B","Sarnia Brigade U11 Select","","","Forest Glade Falcons","","August 02, 2025","02:00 PM","3215 Forest Glade Dr","Donna Bombardier Diamond (DBD)"
"33","11U","Pool 1","London Scripions","","","London Tincaps","","August 02, 2025","02:00 PM","3215 Forest Glade Dr","Optimist 2 (OPT2)"
"34","13U","Pool 2","Lakeshore WHITECAPS","","","Southwest London Scorpions","","August 02, 2025","04:00 PM","3215 Forest Glade Dr","Tom Wilson Field (TWF)"
"35","13U","Pool 2","Newmarket Hawks 13U Select","","","Strathroy Royals U13","","August 02, 2025","04:00 PM","3215 Forest Glade Dr","Bernie Amlin Field (BAF)"
"36","11U","Pool C","Royals U11 Select","","","Aburg Cardinals","","August 02, 2025","04:00 PM","3215 Forest Glade Dr","Donna Bombardier Diamond (DBD)"
"37","11U","Pool C","Turtle Club","","","Wyoming Wranglers","","August 02, 2025","04:00 PM","3215 Forest Glade Dr","Optimist 2 (OPT2)"
"38","13U","Pool 3","South Woodslee Orioles","","","East Mountain Cobras U13","","August 02, 2025","06:00 PM","3215 Forest Glade Dr","Tom Wilson Field (TWF)"
"39","13U","Pool 3","Wyoming Wranglers U13 SOBA","","","North London Nationals","","August 02, 2025","06:00 PM","3215 Forest Glade Dr","Bernie Amlin Field (BAF)"
"40","13U","","Seed #3","","","Seed #6","playoff","August 03, 2025","08:00 AM","3215 Forest Glade Dr","Tom Wilson Field (TWF)"
"41","13U","","Seed #4","","","Seed #5","playoff","August 03, 2025","08:00 AM","3215 Forest Glade Dr","Bernie Amlin Field (BAF)"
"42","11U","","Seed #4","","","Seed #5","playoff","August 03, 2025","08:00 AM","3215 Forest Glade Dr","Optimist 2 (OPT2)"
"43","11U","","Seed #3","","","Seed #6","playoff","August 03, 2025","08:00 AM","3215 Forest Glade Dr","Donna Bombardier Diamond (DBD)"
"44","13U","","Winner of game","","","Winner of game","playoff","August 03, 2025","10:30 AM","3215 Forest Glade Dr","Bernie Amlin Field (BAF)"
"45","13U","","Winner of game","","","Winner of game","playoff","August 03, 2025","10:30 AM","3215 Forest Glade Dr","Tom Wilson Field (TWF)"
"46","11U","","Winner of game","","","Winner of game","playoff","August 03, 2025","10:30 AM","3215 Forest Glade Dr","Optimist 2 (OPT2)"
