Game #,Division,Pool,Team 1,Team 1 Score,Team 2 Score,Team 2,Match Type,Date,Time,Venue,SubVenue
1,18U,A,Cubs 18U DS,,,West Mountain Cougars,,"May 30, 2025",2:00 PM,Central Park,Central Park
4,18U,A,Royal York Cardinals,,,Whitby Canadiens,,"May 30, 2025",5:00 PM,Central Park,Central Park
3,18U,A,West Mountain Cougars,,,Royal York Cardinals,,"May 30, 2025",5:00 PM,Mic Mac Park,Mic Mac Park (Cullen Field)
2,18U,A,Whitby Canadiens,,,Cubs 18U DS,,"May 30, 2025",5:00 PM,Mic Mac Park,Mic Mac Park (Soulliere Field)
6,18U,A,West Mountain Cougars,,,Whitby Canadiens,,"May 30, 2025",7:30 PM,Mic Mac Park,Mic Mac Park (Cullen Field)
5,18U,A,Cubs 18U DS,,,Royal York Cardinals,,"May 30, 2025",7:30 PM,Mic Mac Park,Mic Mac Park (Soulliere Field)
8,18U,B,DKMB U18 select,,,Tincaps,,"May 31, 2025",9:00 AM,Mic Mac Park,Mic Mac Park (Cullen Field)
7,18U,B,London Nationals,,,Falcons,,"May 31, 2025",9:00 AM,Mic Mac Park,Mic Mac Park (Soulliere Field)
9,18U,B,Tincaps,,,Falcons,,"May 31, 2025",11:30 AM,Central Park,Central Park
11,18U,B,DKMB U18 select,,,London Nationals,,"May 31, 2025",11:30 AM,Mic Mac Park,Mic Mac Park (Cullen Field)
10,18U,B,DKMB U18 select,,,Falcons,,"May 31, 2025",11:30 AM,Mic Mac Park,Mic Mac Park (Soulliere Field)
12,18U,B,London Nationals,,,Tincaps,,"May 31, 2025",2:00 PM,Central Park,Central Park
14,18U,C,Guelph Royals,,,Blenheim Bees,,"May 31, 2025",2:00 PM,Mic Mac Park,Mic Mac Park (Cullen Field)
13,18U,C,Blenheim Bees,,,Twins,,"May 31, 2025",2:00 PM,Mic Mac Park,Mic Mac Park (Soulliere Field)
16,18U,C,Twins,,,Brewers,,"May 31, 2025",4:30 PM,Mic Mac Park,Mic Mac Park (Cullen Field)
15,18U,C,Brewers,,,Guelph Royals,,"May 31, 2025",4:30 PM,Mic Mac Park,Mic Mac Park (Soulliere Field)
17,18U,C,Brewers,,,Blenheim Bees,,"May 31, 2025",7:00 PM,Mic Mac Park,Mic Mac Park (Cullen Field)
18,18U,C,Guelph Royals,,,Twins,,"May 31, 2025",7:00 PM,Mic Mac Park,Mic Mac Park (Soulliere Field)
19,18U,,,,,,playoff,"June 01, 2025",9:00 AM,Mic Mac Park,Mic Mac Park (Cullen Field)
20,18U,,,,,,playoff,"June 01, 2025",9:00 AM,Mic Mac Park,Mic Mac Park (Soulliere Field)
21,18U,,,,,,playoff,"June 01, 2025",11:30 AM,Mic Mac Park,Mic Mac Park (Cullen Field)
22,18U,,,,,,playoff,"June 01, 2025",11:30 AM,Mic Mac Park,Mic Mac Park (Soulliere Field)
23,18U,,,,,,playoff,"June 01, 2025",2:30 PM,Mic Mac Park,Mic Mac Park (Cullen Field)
